station,day,Polutan,Konsentrasi (μg/m³)
Changping,18,BMUA_PM10,150.0
Changping,19,BMUA_PM10,150.0
Changping,20,BMUA_PM10,150.0
Changping,21,BMUA_PM10,150.0
Changping,22,BMUA_PM10,150.0
Changping,23,BMUA_PM10,150.0
Changping,24,BMUA_PM10,150.0
Changping,25,BMUA_PM10,150.0
Changping,26,BMUA_PM10,150.0
Changping,27,BMUA_PM10,150.0
Changping,28,BMUA_PM10,150.0
Changping,29,BMUA_PM10,150.0
Changping,30,BMUA_PM10,150.0
Changping,31,BMUA_PM10,150.0
Huairou,1,BMUA_PM10,150.0
Huairou,2,BMUA_PM10,150.0
Huairou,3,BMUA_PM10,150.0
Huairou,4,BMUA_PM10,150.0
Huairou,5,BMUA_PM10,150.0
Huairou,6,BMUA_PM10,150.0
Huairou,7,BMUA_PM10,150.0
Huairou,8,BMUA_PM10,150.0
Huairou,9,BMUA_PM10,150.0
Huairou,10,BMUA_PM10,150.0
Huairou,11,BMUA_PM10,150.0
Huairou,12,BMUA_PM10,150.0
Huairou,13,BMUA_PM10,150.0
Huairou,14,BMUA_PM10,150.0
Huairou,15,BMUA_PM10,150.0
Huairou,16,BMUA_PM10,150.0
Huairou,17,BMUA_PM10,150.0
Huairou,18,BMUA_PM10,150.0
Huairou,19,BMUA_PM10,150.0
Huairou,20,BMUA_PM10,150.0
Huairou,21,BMUA_PM10,150.0
Huairou,22,BMUA_PM10,150.0
Huairou,23,BMUA_PM10,150.0
Huairou,24,BMUA_PM10,150.0
Huairou,25,BMUA_PM10,150.0
Huairou,26,BMUA_PM10,150.0
Huairou,27,BMUA_PM10,150.0
Huairou,28,BMUA_PM10,150.0
Huairou,29,BMUA_PM10,150.0
Huairou,30,BMUA_PM10,150.0
Huairou,31,BMUA_PM10,150.0
Wanshouxigong,1,BMUA_PM10,150.0
Wanshouxigong,2,BMUA_PM10,150.0
Wanshouxigong,3,BMUA_PM10,150.0
Wanshouxigong,4,BMUA_PM10,150.0
Wanshouxigong,5,BMUA_PM10,150.0
Wanshouxigong,6,BMUA_PM10,150.0
Wanshouxigong,7,BMUA_PM10,150.0
Wanshouxigong,8,BMUA_PM10,150.0
Wanshouxigong,9,BMUA_PM10,150.0
Wanshouxigong,10,BMUA_PM10,150.0
Wanshouxigong,11,BMUA_PM10,150.0
Wanshouxigong,12,BMUA_PM10,150.0
Wanshouxigong,13,BMUA_PM10,150.0
Wanshouxigong,14,BMUA_PM10,150.0
Wanshouxigong,15,BMUA_PM10,150.0
Wanshouxigong,16,BMUA_PM10,150.0
Wanshouxigong,17,BMUA_PM10,150.0
Wanshouxigong,18,BMUA_PM10,150.0
Wanshouxigong,19,BMUA_PM10,150.0
Wanshouxigong,20,BMUA_PM10,150.0
Wanshouxigong,21,BMUA_PM10,150.0
Wanshouxigong,22,BMUA_PM10,150.0
Wanshouxigong,23,BMUA_PM10,150.0
Wanshouxigong,24,BMUA_PM10,150.0
Wanshouxigong,25,BMUA_PM10,150.0
Wanshouxigong,26,BMUA_PM10,150.0
Wanshouxigong,27,BMUA_PM10,150.0
Wanshouxigong,28,BMUA_PM10,150.0
Wanshouxigong,29,BMUA_PM10,150.0
Wanshouxigong,30,BMUA_PM10,150.0
Wanshouxigong,31,BMUA_PM10,150.0
